clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
4,755,0,0,0,0,1,0,1,0,0,0,0,0,-1.0449625968393617,-0.03907565172827333,-0.6470955025556082,-1.273878496484438,-1.2286198418245022,-1.2582048410894275
2,990,0,0,0,1,0,1,0,0,0,0,0,0,-0.8358611462374902,-0.24255825712393514,-0.6470955025556082,-0.8030525417275031,-0.8882625472422878,-0.8719356458872004
1,650,0,0,0,1,0,1,0,0,0,0,0,0,-0.961322016598613,-1.734764030025431,0.6550053103611821,-1.0251402562354912,-1.0453505293571559,-1.200979775133542
5,878,0,0,1,0,0,0,0,0,1,0,0,0,-1.0449625968393617,-0.17473072199204787,-0.6470955025556082,-1.2383444621631599,-1.2460740620594881,-1.2582048410894275
3,9533,0,0,0,0,1,0,0,0,0,0,1,0,1.4642548103830957,1.0461649103819037,-1.081129106861205,1.3911740776114188,1.328423422600855,1.53151712425999
5,2895,0,0,1,0,0,0,0,0,1,0,0,0,-0.20855679443187597,0.23223448879927092,-1.9491963154723986,-0.02130378665938517,0.010629794859459314,0.029359142917995795
3,4424,0,0,0,1,0,0,0,0,1,0,0,0,0.209646106771867,-1.056488678706568,0.6550053103611821,0.48505620241882785,0.42080397038161543,0.31548447269742286
2,2239,0,1,0,0,0,0,1,0,0,0,0,0,-0.20855679443187597,0.09657941853549638,0.22097170605558533,-0.09237185530194142,-0.05918708608048225,-0.05647845601583251
6,607,0,0,1,0,0,0,0,0,0,0,1,0,-0.9195017264782388,-0.10690318686016059,-0.6470955025556082,-1.0251402562354912,-0.9842607585347068,-1.0149983107769143
5,1081,0,0,1,0,0,0,0,0,1,0,0,0,-0.7522205659967416,0.028751883403609117,-0.6470955025556082,-0.7408679816652661,-0.6962661246574481,-0.7145667145085155
3,5484,1,0,0,0,0,0,0,0,1,0,0,0,0.4187475573737384,3.962748921053013,-0.21306189825001146,0.41398813377627164,0.3422599793241814,0.9020413987452492
3,8085,0,0,1,0,0,0,0,0,1,0,0,0,0.8996808937580427,0.43571709419492793,-0.21306189825001146,0.9736491743364014,0.996793238136133,1.0594103301239348
3,642,0,0,0,0,1,0,0,1,0,0,0,0,-1.0449625968393617,0.9783373752500212,0.6550053103611821,-1.3005290222253967,-1.3071638328819364,-1.2152860416225137
1,1423,0,1,0,0,0,1,0,0,0,0,0,0,-0.3967480999735602,-1.327798819234117,1.9571061232779725,-0.2256244840067338,-0.18136662772537962,-0.3569100522842313
4,526,0,1,0,0,0,0,0,0,0,1,0,0,-1.0449625968393617,1.0461649103819037,-0.6470955025556082,-1.309412530805716,-1.2548011721769807,-1.186673508644571
5,1902,1,0,0,0,0,0,0,1,0,0,0,0,-0.48038868021430886,2.334888077887747,-0.5602887816944876,-0.483246232836,-0.4431799312501601,-0.19954112090554635
3,1752,0,0,1,0,0,1,0,0,0,0,0,0,-0.6267596956356187,0.5035446293268152,-1.5151627111668018,-0.6076153529604738,-0.5653594728950583,-0.5285852501518878
7,1271,0,0,0,1,0,0,0,0,1,0,0,0,-0.8567712912976773,-1.327798819234117,-1.081129106861205,-0.7941690331471838,-0.8446269966548245,-0.9577732448210288
2,1403,0,0,0,0,1,0,0,1,0,0,0,0,-0.48038868021430886,0.5713721644587024,0.22097170605558533,-0.4032946556131244,-0.36463594019272605,-0.31399125281731743
1,7972,0,0,0,1,0,0,0,0,0,0,1,0,1.5688055356840314,-2.209556775948637,1.089038914666779,1.6932133693422824,1.6076909463606213,1.302616860436448
3,2683,0,0,0,1,0,1,0,0,0,0,0,0,-0.18764664937168882,0.6391996995905898,0.22097170605558533,-0.05683782098066329,-0.18136662772537962,0.0007466099400530279
4,1079,0,0,1,0,0,0,1,0,0,0,0,0,-0.8149510011773031,-0.24255825712393514,-0.21306189825001146,-0.8385865760487812,-0.8009914460673604,-0.8433231129092577
4,568,0,1,0,0,0,0,0,0,0,0,1,0,-0.9195017264782388,1.0461649103819037,-0.6470955025556082,-1.087324816297728,-1.027896309122171,-0.9577732448210288
3,558,0,0,0,0,1,0,0,0,0,0,1,0,-1.0240524517791745,0.9783373752500212,-1.081129106861205,-1.1850434106812422,-1.2548011721769807,-1.1294484426886853
2,904,0,0,0,0,1,0,1,0,0,0,0,0,-0.8149510011773031,-0.8530060733109109,2.3911397275835693,-0.8208195588881425,-0.8446269966548245,-0.914854445354115
7,954,0,0,0,1,0,0,0,0,1,0,0,0,-1.0031423067189873,-1.5991089597616612,0.6550053103611821,-1.113975342038686,-1.0715318597096342,-1.2438985746004565
3,827,0,0,0,0,1,0,0,0,1,0,0,0,-0.8149510011773031,0.7748547698543594,0.6550053103611821,-0.9185381532716568,-0.8620812168898095,-0.8147105799313149
1,13677,0,0,0,1,0,0,1,0,0,0,0,0,2.5515823535128273,-1.2599712841022297,0.22097170605558533,2.1729228326795367,2.0964091129402123,1.9320925859511877
3,2473,0,0,0,0,1,0,1,0,0,0,0,0,-0.20855679443187597,-2.00607417055298,-0.6470955025556082,0.04976428198317107,0.08917378591689339,-0.17092858792760357
3,800,0,0,0,0,1,0,0,1,0,0,0,0,-0.8776814363578644,-0.5816959327833666,-0.6470955025556082,-0.9451886790126156,-0.8882625472422878,-0.9720795113100005
5,684,0,0,1,0,0,0,0,0,1,0,0,0,-1.0449625968393617,-0.7851785381790236,-0.21306189825001146,-1.2472279707434792,-1.2111656215895172,-1.301123640556342
4,681,0,0,1,0,0,0,0,0,1,0,0,0,-0.961322016598613,0.16440695366738364,-1.081129106861205,-1.1228588506190063,-1.0802589698271268,-1.0865296432217715
3,6041,1,0,0,0,0,0,0,1,0,0,0,0,0.43965770243392555,4.912334412899425,1.5230725189723757,0.2896190136517978,0.220080437679284,0.8877351322562782
1,3590,0,0,0,0,1,0,1,0,0,0,0,0,0.3141968320728026,-2.0739017056848623,2.3911397275835693,0.5650077796417035,0.6040732828489619,0.31548447269742286
